dmf_no,dmf_submit_date,dmf_holder,dmf_subject,year,month
5139,20-Jul-83,SIMS SRL,PROPRANOLOL HYDROCHLORIDE,1983,7
5147,28-Oct-83,SOCIETA ITALIANA MEDICINALI SCANDICCI SIMS SRL,TETRAHYDROZOLINE HCl,1983,10
5161,1-Dec-83,CHINOIN PHARMACEUTICAL AND CHEMICAL WORKS PRIVATE CO LTD,SELEGILINE HYDROCHLORIDE,1983,12
5164,24-Nov-83,SOCIETA ITALIANA MEDICINALI SCANDICCI SIMS SRL,MEPIVACAINE HCl,1983,11
5196,13-Dec-83,ALBEMARLE CORP,BENZONATATE USP ,1983,12
5198,26-Oct-83,SPECGX LLC,Compap™ L (Acetaminophen USP 90% Anhydrous Basis),1983,10
5202,3-Jan-84,PHARMACIA AND UPJOHN CO LLC WHOLLY OWNED SUB OF PFIZER INC,DINOPROSTONE USP,1984,1
5204,22-Dec-83,EXCELLA GMBH AND CO KG,TAMOXIFEN CITRATE,1983,12
5208,9-Jan-84,FIS FABBRICA ITALIANA SINTETICI SPA,OXAZEPAM,1984,1
5223,16-Dec-83,FIS FABBRICA ITALIANA SINTETICI SPA,TEMAZEPAM,1983,12
5240,9-Feb-84,SIEGFRIED EVIONNAZ SA,CARISOPRODOL,1984,2
5261,23-Jan-84,MERCK AND CIE,CALCIUM FOLINATE ( CALCIUM LEUCOVORIN ),1984,1
5276,2-Mar-84,DYNAMIT NOBEL GMBH EXPLOSIVSTOFF UND SYSTEMTECHNIK,NITROGLYCERINE 5% IN MIGLYOL 812 NEUTRAL OIL,1984,3
5282,27-Feb-84,FIS FABBRICA ITALIANA SINTETICI SPA,FLURAZEPAM HCl ,1984,2
5319,6-Apr-84,PHARMACIA AND UPJOHN CO LLC WHOLLY OWNED SUB OF PFIZER INC,DINOPROST TROMETHAMINE,1984,4
5326,5-Apr-84,SPECGX LLC,ACETAMINOPHEN USP,1984,4
5327,27-Mar-84,LUSOCHIMICA SPA,METAPROTERENOL SULFATE,1984,3
5335,13-Apr-84,MINAKEM HIGH POTENT,VINBLASTINE SULFATE,1984,4
5381,1-Jun-84,SI GROUP,IBUPROFEN ,1984,6
5384,6-Jun-84,KATWIJK CHEMIE BV,PHENYTOIN/PHENYTOIN SODIUM,1984,6
5389,11-May-84,BAYER AG,MEDROXYPROGESTERONE ACETATE,1984,5
5390,6-Jun-84,KATWIJK CHEMIE BV,SULFACETAMIDE/SULFACETAMIDE SODIUM,1984,6
5399,22-May-84,UNION QUIMICO FARMACEUTICA SA (UQUIFA SA),DOXYLAMINE SUCCINATE USP ,1984,5
5404,10-Apr-84,DIPHARMA FRANCIS SRL,DOXEPIN HCl,1984,4
5408,19-Mar-84,FERMION OY,AZATHIOPRINE ,1984,3
5412,7-Feb-84,INALCO SAS DI GIOVANNI CIPOLLETTI AND C,LACTULOSE 50% SYRUP,1984,2
5416,8-Jun-84,PRODUCTOS QUIMICOS NATURALES SA DE CV,PROGESTERONE,1984,6
5440,29-Jun-84,CHEMTRADE SOLUTIONS LLC,POTASSIUM CHLORIDE ,1984,6
5441,24-May-84,BOEHRINGER INGELHEIM PHARMA GMBH AND CO KG,HOMATROPINE METHYLBROMIDE,1984,5
5494,11-Jan-84,BOEHRINGER INGELHEIM PHARMA GMBH AND CO KG,ATROPINE SULFATE,1984,1
5497,30-Jul-84,CORDEN PHARMA BERGAMO SPA,CIMETIDINE,1984,7
5498,11-Jun-84,PHARMACIA AND UPJOHN CO WHOLLY OWNED SUB PFIZER INC,"HYDROCORTISONE ACETATE USP, MICRO & NON-MICRO ",1984,6
5500,15-Aug-84,TEVA PHARMACEUTICAL INDUSTRIES LTD,TAMOXIFEN CITRATE USP,1984,8
5505,16-Jul-84,BAUSCH HEALTH US LLC,PYRIDOSTIGMINE BROMIDE,1984,7
5515,23-Jul-84,LOS ALAMOS NATIONAL LABORATORY DEPT ENERGY,STRONTIUM-82,1984,7
5531,23-Jul-84,BROOKHAVEN NATIONAL LABORATORY,STRONTIUM-82,1984,7
5542,27-Sep-84,BWXT ITG CANADA INC,INDIUM-111 CHLORIDE,1984,9
5555,1-Oct-84,COPPERHEAD INVESTMENTS INC,SDM-7 (20/80 NITROGLYCERIN/POLYMER MIXTURE),1984,10
5560,10-Oct-84,PMC ISOCHEM,INDORAMIN HYDROCHLORIDE,1984,10
5566,28-Sep-84,ORGAPHARM SAS,THIOTHIXENE,1984,9
5579,22-Oct-84,SIEGFRIED LTD,OXICONAZOLE NITRATE ,1984,10
5584,13-Nov-84,ALBEMARLE CORP,MECLOFENAMATE SODIUM USP,1984,11
5605,9-Nov-84,SOCIETA ITALIANA MEDICINALI SCANDICCI SIMS SRL,METOPROLOL TARTRATE,1984,11
5616,17-Oct-84,CIPLA LTD,DANAZOL USP,1984,10
5648,7-Dec-84,FINE CHEMICALS CORP PTY LTD,FLUPHENAZINE HYDROCHLORIDE,1984,12
5673,10-Dec-84,DSP,DUOLITE™ AP143/1083 CHOLESTYRAMINE RESIN USP ,1984,12
5674,20-Dec-84,FIS FABBRICA ITALIANA SINTETICI SPA,CLOMIPHENE CITRATE,1984,12
5677,20-Dec-84,YUNG ZIP CHEMICAL IND CO LTD,MEFENAMIC ACID,1984,12
5678,18-Jan-85,PCAS,VALPROIC ACID,1985,1
5684,4-Sep-84,TEVA PHARMACEUTICAL INDUSTRIES LTD,FLUOROMETHOLONE-17-ACETATE ,1984,9
5693,24-Jan-85,CAMBREX KARLSKOGA AB,MESALAMINE/5-AMINOSALICYLIC ACID,1985,1
5717,6-Feb-85,FERMION OY,DILTIAZEM HCL,1985,2
5722,22-Feb-85,ALBEMARLE CORP,ORPHENADRINE CITRATE USP,1985,2
5740,27-Feb-85,CHEMICAL WORKS OF GEDEON RICHTER PLC DBA GEDEON RICHTER PLC,ETHINYL ESTRADIOL USP,1985,2
5748,11-Mar-85,SIEGFRIED EVIONNAZ SA,METOLAZONE,1985,3
5779,4-May-84,BOEHRINGER INGELHEIM PHARMA GMBH AND CO KG,EPINEPHRINE HYDROGENTARTRATE,1984,5
5782,8-Apr-85,XTTRIUM LABORATORIES INC,CHLORHEXIDINE GLUCONATE 20% SOLUTION USP,1985,4
5791,27-Mar-85,BOEHRINGER INGELHEIM PHARMA GMBH AND CO KG,ATROPINE,1985,3
5795,10-Apr-85,LONZA AG,ETODOLAC,1985,4
5796,3-Apr-85,FERMION OY,TOLNAFTATE USP ,1985,4
5809,11-Apr-85,DELTA SYNTHETIC CO LTD,GUAIFENESIN ,1985,4
5822,29-May-85,BOEHRINGER INGELHEIM PHARMA GMBH AND CO KG,EPINEPHRINE,1985,5
5827,10-May-85,MEDICHEM SA,CYCLOBENZAPRINE HCL,1985,5
5836,29-Mar-85,PHARMAZELL GMBH,N-ACETYL-L-CYSTEINE,1985,3
5857,3-Jun-85,SPECGX LLC,MORPHINE SULFATE,1985,6
5861,5-Jun-85,ALBEMARLE CORP,PROPRANOLOL HYDROCHLORIDE,1985,6
5864,6-Jun-85,DIPHARMA FRANCIS SRL,CYCLOBENZAPRINE HCL,1985,6
5876,10-Jun-85,MOEHS IBERICA SL,LIDOCAINE HYDROCHLORIDE,1985,6
5878,29-May-85,ASPEN API INC,HEPARIN SODIUM CRUDE (PORCINE),1985,5
5882,27-Jun-85,PUROLITE CORP,SODIUM POLYSTYRENE SULFONATE,1985,6
5884,7-Jun-85,PHIBRO ANIMAL HEALTH CORP,CARBADOX,1985,6
5900,22-Apr-85,LUNDBECK PHARMACEUTICALS ITALY SPA,TRIMIPRAMINE MALEATE,1985,4
5925,19-Jul-85,JANSSEN PHARMACEUTICA NV,TERCONAZOLE (PRODUCT # R42470),1985,7
5926,2-Jul-85,EVONIK NUTRITION AND CARE GMBH,CHLORHEXIDINE BASE ,1985,7
5951,9-Aug-85,MERCK SANTE SAS,METFORMIN HYDROCHLORIDE ,1985,8
5954,9-Jul-85,BOEHRINGER INGELHEIM CHEMICALS INC,METHOCARBAMOL,1985,7
5967,13-Aug-85,SARTORIUS STEDIM NORTH AMERICA INC,FILTER MEMBRANE MATERIALS,1985,8
5974,20-Aug-85,NAPP TECHNOLOGIES LLC,SULFANILAMIDE,1985,8
5977,19-Aug-85,TRIFARMA SPA,MINOXIDIL USP,1985,8
5984,27-Aug-85,CAMBREX KARLSKOGA AB,BUPIVACAINE HYDROCHLORIDE,1985,8
5991,3-Sep-85,TEVA PHARMACEUTICAL INDUSTRIES LTD,ALPHA METHYLDOPA USP,1985,9
6011,14-Aug-85,SEKISUI MEDICAL CO LTD,EPSILON-AMINO-N-CAPROIC ACID,1985,8
6012,9-Sep-85,PCAS,DESIPRAMINE HCL,1985,9
6026,3-Sep-85,FINE CHEMICALS CORP PTY LTD,FLUPHENAZINE DECANOATE,1985,9
6028,12-Aug-85,GATTEFOSSE SAS,SUPPOCIRE,1985,8
6065,16-Oct-85,PHARMACIA AND UPJOHN SUB PFIZER INC,"EPOPROSTENOL SODIUM (U-53,217A)",1985,10
6099,19-Nov-85,JOHNSON MATTHEY PHARMACEUTICAL MATERIALS,"EDROPHONIUM CHLORIDE,BULK",1985,11
6108,11-Oct-85,ACE JAPAN CO LTD,SUCRALFATE (SUCROSE SULFATE ALUMINUM SALT),1985,10
6114,2-Dec-85,BOEHRINGER INGELHEIM CHEMICALS INC,DOXAPRAM HYDROCHLORIDE,1985,12
6118,12-Dec-85,ADARE PHARMACEUTICALS INC,MICROCAPS® POTASSIUM CHLORIDE,1985,12
6148,23-Dec-85,SIGMA ALDRICH MANUFACTURING LLC,TRIPALMITIN ,1985,12
6159,30-Dec-85,CAMBREX PROFARMACO MILANO SRL,CHLORDIAZEPOXIDE ,1985,12
6170,24-Jan-85,PMC ISOCHEM,ACETOHYDROXAMIC ACID,1985,1
6174,19-Dec-85,BAYER AG,GESTODENE,1985,12
6187,11-Feb-86,FIS FABBRICA ITALIANA SINTETICI SPA,SULINDAC ,1986,2
6197,3-Dec-85,TEVA PHARMACEUTICAL INDUSTRIES LTD,NIFEDIPINE ,1985,12
6213,5-Mar-86,TEVA PHARMACEUTICAL INDUSTRIES LTD,ATENOLOL ,1986,3
6215,23-Jan-86,ASAHI KASEI FINECHEM CO LTD,CYTARABINE,1986,1
6216,20-Feb-86,SIGMA ALDRICH MANUFACTURING LLC,PALMITIC ACID,1986,2
6217,25-Feb-86,JOHNSON MATTHEY PHARMACEUTICAL MATERIALS,FENTANYL BASE,1986,2
6231,11-Mar-86,SIEGFRIED USA LLC,METHADONE HYDROCHLORIDE USP,1986,3
6247,4-Apr-86,FERMION OY,NADOLOL ,1986,4
6258,27-Mar-86,PHARMACIA AND UPJOHN CO WHOLLY OWNED SUB PFIZER INC,ESTRAMUSTINE PHOSPHATE SODIUM ,1986,3
6265,11-Apr-86,SPECGX LLC,NALTREXONE HCL ,1986,4
6267,14-Apr-86,ATABAY KIMYA SANAYI VE TICARET AS,ACETAMINOPHEN ,1986,4
6289,23-Apr-86,CU CHEMIE UETIKON GMBH,METHIMAZOLE ,1986,4
6291,25-Apr-86,BACHEM AG,TRIPTORELIN PAMOATE,1986,4
6309,5-May-86,FINE CHEMICALS CORP PTY LTD,THIOTHIXENE,1986,5
6324,1-Mar-86,ERREGIERRE SPA,CLOTRIMAZOLE USP-EP,1986,3
6339,14-Mar-86,FIS FABBRICA ITALIANA SINTETICI SPA,NIFEDIPINE USP ,1986,3
6362,4-Oct-84,EIRCHEM PHARMA SERVICES LTD,ISOSORBIDE 5-MONONITRATE (5-ISM),1984,10
6391,9-May-86,DIPHARMA FRANCIS SRL,BENDROFLUMETHIAZIDE USP,1986,5
6412,12-Jun-86,PCAS,OXYBUTYNIN CHLORIDE USP,1986,6
6413,6-Jun-86,NORAMCO INC,CODEINE PHOSPHATE ,1986,6
6421,18-Jun-86,FINE CHEMICALS CORP PTY LTD,BACLOFEN,1986,6
6428,18-Jun-86,KATWIJK CHEMIE BV,VALPROIC ACID,1986,6
6440,27-Jun-86,BWXT ITG CANADA INC,SODIUM IODIDE I-123,1986,6
6492,23-Jul-86,DELMAR CHEMICALS INC,PENTAMIDINE ISETHIONATE,1986,7
6494,31-Jul-86,RECORDATI INDUSTRIA CHIMICA E FARMACEUTICA SPA,FLAVOXATE HYDROCHLORIDE,1986,7
6495,23-May-86,SOCIETA ITALIANA MEDICINALI SCANDICCI SIMS SRL,BUPIVACAINE HYDROCHLORIDE,1986,5
6499,28-Jul-86,CIPLA LTD,VINBLASTINE SULFATE USP,1986,7
6500,28-Jul-86,CIPLA LTD,VINCRISTINE SULFATE USP,1986,7
6504,29-Jul-86,BACHEM AMERICAS INC,SALMON CALCITONIN (SCT),1986,7
6505,23-Jul-86,DIPHARMA FRANCIS SRL,NIFEDIPINE USP ,1986,7
6522,7-Aug-86,CAMBREX PROFARMACO MILANO SRL,ALBUTEROL /SALBUTAMOL SULPHATE ,1986,8
6525,11-Aug-86,PHARMACIA AND UPJOHN CO LLC WHOLLY OWNED SUB OF PFIZER INC,DEXAMETHASONE SODIUM PHOSPHATE USP,1986,8
6603,22-Sep-86,MOEHS IBERICA SL,TRIAMTERENE,1986,9
6618,2-Oct-86,TEVA PHARMACEUTICAL INDUSTRIES LTD,ALBUTEROL SULPHATE (SALBUTAMOL),1986,10
6626,15-Oct-86,MSD INTERNATIONAL GMBH,LORATADINE,1986,10
6641,20-Oct-86,FIS FABBRICA ITALIANA SINTETICI SPA,CARBAMAZEPINE,1986,10
6644,10-Sep-86,OLON SPA,TIMOLOL MALEATE,1986,9
6652,8-Aug-86,FERMION OY,TOREMIFENE CITRATE,1986,8
6658,29-Oct-86,EUTICALS SPA,SULFAPYRIDINE,1986,10
6662,1-Nov-86,HERAEUS DEUTSCHLAND GMBH AND CO KG,CISPLATIN USP ,1986,11
6686,14-Nov-86,LUSOCHIMICA SPA,DILTIAZEM HYDROCHLORIDE,1986,11
6687,18-Nov-86,HOVIONE FARMACIENCIA SA,BETAMETHASONE SODIUM PHOSPHATE,1986,11
6689,20-Nov-86,DIPHARMA FRANCIS SRL,DICLOFENAC SODIUM EP/USP ,1986,11
6693,25-Nov-86,OLON SPA,MINOXIDIL,1986,11
6711,2-Dec-86,MEDICHEM SA,CHLORHEXIDINE BASE ,1986,12
6713,28-Nov-86,HOVIONE FARMACIENCIA SA,BETAMETHASONE 21-ACETATE,1986,11
6721,1-Dec-86,EXCELLA GMBH AND CO KG,TRAZODONE HYDROCHLORIDE,1986,12
6735,15-Dec-86,OLON SPA,TAMOXIFEN CITRATE,1986,12
6738,22-Dec-86,GE HEALTHCARE INC,SODIUM IODIDE I 123 PRODUCED VIA XENON XE 123,1986,12
6761,5-Jan-87,CAMBREX PROFARMACO MILANO SRL,DILTIAZEM HCL ,1987,1
6767,29-Dec-86,MEDICHEM SA,LOXAPINE SUCCINATE ,1986,12
6771,15-Jan-87,BAYER AG,CLOTRIMAZOLE,1987,1
6778,9-Jan-87,DIPHARMA FRANCIS SRL,ISOSORBIDE-5-MONONITRATE (5-ISMN),1987,1
6793,20-Jan-87,SOUTHWEST SYNTHETIC PHARMACEUTICAL CORP LTD,SULFAMETHOXAZOLE USP,1987,1
6795,20-Jan-87,SOUTHWEST SYNTHETIC PHARMACEUTICAL CORP LTD,TRIMETHOPRIM USP,1987,1
6814,23-Jan-87,TEVA PHARMACEUTICAL INDUSTRIES LTD,CLOBETASOL PROPIONATE,1987,1
6817,23-Jan-87,TEVA PHARMACEUTICAL INDUSTRIES LTD,PANCURONIUM BROMIDE,1987,1
6821,16-Dec-86,RELIANCE CELLULOSE PRODUCTS LTD,MICROCRYSTALLINE CELLULOSE,1986,12
6827,13-Feb-87,LEK PHARMACEUTICALS DD,BROMOCRIPTINE MESYLATE USP,1987,2
6838,27-Feb-87,TEVA PHARMACEUTICAL INDUSTRIES LTD,METOPROLOL TARTRATE USP,1987,2
6843,3-Mar-87,ALBEMARLE CORP,"FENOPROFEN CALCIUM, USP+BP",1987,3
6853,10-Mar-87,UCB PHARMA SA,CETIRIZINE HYDROCHLORIDE,1987,3
6868,20-Jan-87,FINORGA SAS,ESMOLOL HYDROCHLORIDE,1987,1
6870,5-Mar-87,ERREGIERRE SPA,MICONAZOLE NITRATE,1987,3
6875,19-Mar-87,KANEKA CORP,N-[1(S)-ETHOXYCARBONYL-3-PHENYLPROPYL]-L-ALANINE (ALE),1987,3
6877,6-Mar-87,SEKISUI MEDICAL CO LTD,CLEMASTINE FUMERATE,1987,3
6885,20-Jan-87,CIPLA LTD,ALBUTEROL SULFATE USP,1987,1
6887,16-Mar-87,MEDICHEM SA,AMOXAPINE ,1987,3
6895,26-Mar-87,NOVARTIS PHARMA AG,POLY (DL-LACTIDE-CO-GLYCOLIDE),1987,3
6908,7-Apr-87,SIGMA ALDRICH IRELAND LTD,DOXYLAMINE SUCCINATE USP,1987,4
6914,9-Apr-87,FINE CHEMICALS CORP PTY LTD,BENZTROPINE MESYLATE ,1987,4
6924,8-Apr-87,MOEHS IBERICA SL,AMANTADINE HYDROCHLORIDE ,1987,4
6930,7-Apr-87,SPECGX LLC,OXYCODONE HYDROCHLORIDE USP (D),1987,4
6936,8-Apr-87,TEVA PHARMACEUTICAL INDUSTRIES LTD,AMCINONIDE ,1987,4
6947,7-Apr-87,BK GIULINI GMBH,PHOSKADENT NA 211 (SODIUMMONOFLUOROPHOSPHATE),1987,4
6955,11-May-87,AMRI ITALY SRL,BROMOCRIPTINE MESYLATE,1987,5
6967,8-May-87,NORAMCO INC,MORPHINE SULFATE,1987,5
6972,13-May-87,SPECGX LLC,IOVERSOL,1987,5
6979,5-May-87,SOCIETA ITALIANA MEDICINALI SCANDICCI SIMS SRL,ATENOLOL,1987,5
6981,27-May-87,YUNG ZIP CHEMICAL IND CO LTD,DICLOFENAC SODIUM,1987,5
6982,27-May-87,YUNG ZIP CHEMICAL IND CO LTD,MICONAZOLE NITRATE,1987,5
6983,22-May-87,PCAS,TIMOLOL MALEATE,1987,5
6989,29-May-87,COPPERHEAD INVESTMENTS INC,SDM 88 ® (10% NITROGLYCERIN IN SOLVATED ACRYLATE BASED ADHESIVE),1987,5
6997,22-May-87,SIMS SRL,KETOPROFEN,1987,5
7000,4-Jun-87,ABBOTT LABORATORIES,VERAPAMIL HYDROCHLORIDE,1987,6
7017,15-Jun-87,STREM CHEMICALS INC,CIS-PLATIN (NON-STERILE BULK DRUG),1987,6
7031,22-Jun-87,LUNDBECK PHARMACEUTICALS ITALY SPA,DIAZOXIDE,1987,6
7033,18-Jun-87,DR REDDYS LABORATORIES LTD,BENZTROPINE MESYLATE USP,1987,6
7050,6-Jul-87,CURIUM US LLC,INDIUM CHLORIDE IN-111,1987,7
7053,3-Jul-87,SOLARA A PHARMA SCIENCES LTD,IBUPROFEN USP ,1987,7
7077,14-Jul-87,PCAS,BACLOFEN ,1987,7
7090,28-Jul-87,NORDMARK ARZNEIMITTEL GMBH AND CO KG,PANCRELIPASE,1987,7
7094,4-Aug-87,CAMBREX PROFARMACO MILANO SRL,ALPRAZOLAM ,1987,8
7096,4-Aug-87,OLON SPA,MAPROTILINE HYDROCHLORIDE,1987,8
7099,6-Aug-87,ASPEN OSS BV,BUPRENORPHINE HYDROCHLORIDE ,1987,8
7110,18-Aug-87,SANDOZ GMBH,LIOTHYRONINE SODIUM,1987,8
7115,24-Aug-87,SANDOZ GMBH,CTAZ-TBE (CEFTAZIDIME-TERT-BUTYLESTER),1987,8
7145,17-Sep-87,JOHNSON MATTHEY INC,CARBOPLATIN,1987,9
7151,22-Sep-87,TEVA PHARMACEUTICAL INDUSTRIES LTD,METOPROLOL TARTRATE ,1987,9
7161,25-Sep-87,SA AJINOMOTO OMNICHEM NV,PRAZOSIN HYDROCHLORIDE,1987,9
7171,12-Oct-87,CIPLA LTD,MEBENDAZOLE USP,1987,10
7188,13-Oct-87,PCAS,PINDOLOL,1987,10
7197,28-Oct-87,ASPEN OSS BV,DESOGESTREL ,1987,10
7214,29-Oct-87,SIEGFRIED EVIONNAZ SA,OXYBUTININ CHLORIDE ,1987,10
7237,20-Nov-87,SPECGX LLC,HYDROMORPHONE HYDROCHLORIDE,1987,11
7239,30-Nov-87,TEVA PHARMACEUTICAL INDUSTRIES LTD,DILTIAZEM HYDROCHLORIDE USP ,1987,11
7264,22-Dec-87,TEVA PHARMACEUTICAL INDUSTRIES LTD,TIMOLOL MALEATE ,1987,12
7272,31-Dec-87,UNION QUIMICO FARMACEUTICA SA (UQUIFA),CYCLOPENTOLATE HYDROCHLORIDE,1987,12
7306,27-Jan-88,MOEHS IBERICA SL,METOPROLOL TARTRATE,1988,1
7311,2-Feb-88,EXCELLA GMBH AND CO KG,BACLOFEN,1988,2
7324,5-Feb-88,PUROLITE CORP,CHOLESTYRAMINE RESIN USP ,1988,2
7329,12-Feb-88,SIEGFRIED EVIONNAZ SA,CHOLINE-SALICYLATE 80% ,1988,2
7333,8-Feb-88,SIEGFRIED EVIONNAZ SA,METHENAMINE HIPPURATE,1988,2
7340,17-Feb-88,TEVA PHARMACEUTICAL INDUSTRIES LTD,LOPERAMIDE HYDROCHLORIDE,1988,2
7356,29-Feb-88,ASTELLAS IRELAND CO LTD,FAMOTIDINE,1988,2
7366,4-Mar-88,ASPEN OSS BV,ETHYNODIOL DIACETATE ,1988,3
7376,4-Mar-88,FDC LTD,MICONAZOLE NITRATE USP,1988,3
7380,11-Mar-88,THE NIPPON SYNTHETIC CHEMICAL INDUSTRY CO LTD,VALPROIC ACID,1988,3
7408,30-Mar-88,PHYTEX AUSTRALIA PARTY LTD,SCOPOLAMINE BASE ,1988,3
7409,28-Mar-88,CAMBREX PROFARMACO MILANO SRL,AMILORIDE HCL ,1988,3
7410,30-Mar-88,PHYTEX AUSTRALIA PVT LTD,METHSCOPOLAMINE BROMIDE,1988,3
7414,30-Mar-88,SIGMA ALDRICH IRELAND LTD,NORTRIPTYLINE HYDROCHLORIDE,1988,3
7415,30-Mar-88,PHYTEX AUSTRALIA PVT LTD,SCOPOLAMINE HYDROBROMIDE,1988,3
7417,30-Mar-88,PHYTEX AUSTRALIA PARTY LTD,SCOPOLAMINE METHONITRATE,1988,3
7426,11-Apr-88,SIGNA SA DE CV,NADOLOL USP,1988,4
7445,22-Apr-88,TEVA PHARMACEUTICAL INDUSTRIES LTD,GEIBROZIL USP,1988,4
7453,28-Apr-88,PMC ISOCHEM,LOPERAMIDE HYDROCHLORIDE,1988,4
7472,11-May-88,DIPHARMA FRANCIS SRL,PIROXICAM ,1988,5
7474,11-May-88,OLON SPA,TRETINOIN ,1988,5
7485,16-May-88,OLON SPA,ISOTRETINOIN ,1988,5
7492,22-May-88,CHEMI SPA,DIFLUNISAL,1988,5
7504,3-Jun-88,MOEHS IBERICA SL,NIFEDIPINE,1988,6
7505,1-Jun-88,FIS FABBRICA ITALIANA SINTETICI SPA,CLONAZEPAM,1988,6
7525,12-Jun-88,STEROGENE BIOSEPARATIONS INC,PURIFICATION CHROMATOGRAPHY MEDIA USED IN THE PREPARATION OF PROTEINS,1988,6
7548,21-Jun-88,FIS FABBRICA ITALIANA SINTETICI SPA,CLOTRIMAZOLE,1988,6
7564,1-Jul-88,PARKER HANNIFIN MANUFACTURING LTD DOMNICK HUNTER PROCESS FILTRATION EUROPE,MICROPORUS FILTERS,1988,7
7568,11-Jul-88,DAIICHI SANKYO CO LTD,PRAVASTATIN SODIUM DRUG SUBSTANCE,1988,7
7581,15-Jul-88,IPCA LABORATORIES LTD,METOCLOPRAMIDE HCL USP,1988,7
7583,19-Jul-88,INSTITUTO MASSONE S A,MENOTROPIN ,1988,7
7590,18-Jul-88,MENADIONA SL,CLOMIPHENE CITRATE,1988,7
7599,21-Jul-88,COSMA SPA,KETOPROFEN,1988,7
7600,18-Jul-88,FIS FABBRICA ITALIANA SINTETICI SPA,DILTIAZEM HYDROCHLORIDE,1988,7
7617,2-Aug-88,PMC ISOCHEM,AMIODARONE HYDROCHLORIDE,1988,8
7655,1-Sep-88,CAMBREX CHARLES CITY INC,5-AMINOSALICYLIC ACID,1988,9
7658,6-Sep-88,PFANSTIEHL INC,"SODIUM DL-LACTATE SOLUTION 60%, USP (S-110, S110-M)",1988,9
7669,9-Sep-88,COSMA SPA,PYRANTEL PAMOATE,1988,9
7675,16-Sep-88,CAMBREX PROFARMACO MILANO SRL,GLYBURIDE ,1988,9
7678,16-Sep-88,DIPHARMA FRANCIS SRL,GLYBURIDE ,1988,9
7686,22-Sep-88,CU CHEMIE UETIKON GMBH,KETAMINE HYDROCHLORIDE ,1988,9
7694,30-Sep-88,AJINOMOTO CO INC,2'3'-DIDEOXYINOSINE,1988,9
7710,13-Oct-88,CAMBREX PROFARMACO MILANO SRL,GLIPIZIDE,1988,10
7728,25-Oct-88,PHARMA-WALDHOF GMBH,ADENOSINE ,1988,10
7766,18-Nov-88,SIEGFRIED LTD,NICOTINE ,1988,11
7790,28-Nov-88,SIEGFRIED EVIONNAZ SA,PHENELZINE SULFATE,1988,11
7799,2-Dec-88,KYOWA HAKKO BIO CO LTD,MANUFACTURING AND QUALITY INFORMATION ON L-GLUTATHIONE OXIDIZED,1988,12
7801,8-Dec-88,MITSUBISHI TANABE PHARMA CORP,MCI-9038 ARGATROBAN DRUG SUB.,1988,12
7809,12-Dec-88,FDC LTD,ALBUTEROL SULFATE USP,1988,12
7822,15-Dec-88,IPCA LABORATORIES LTD,PYRANTEL PAMOATE USP,1988,12
7843,19-Dec-88,SIEGFRIED EVIONNAZ SA,BENZONATATE,1988,12
7846,29-Dec-88,DIPHARMA FRANCIS SRL,NORTRIPTYLINE HCL,1988,12
7882,24-Jan-89,EGIS PHARMACEUTICALS PLC,PROMETHAZINE HCL,1989,1
7884,21-Jan-89,NICOBRAND LTD,NICOTINE,1989,1
7890,25-Jan-89,SPECGX LLC,DCI-90 ,1989,1
7901,26-Jan-89,3M PURIFICATION INC,"ZETAPOR™ NYLON MEMBRANE CARTRIDGE PRODUCTS: LIFEASSURE PSA SERIES, LIFEASSURE BLA SERIES, LIFEASSURE PLA SERIES, LIFEASSURE 020S4, 045SP, 020SP, AND 020ST SERIES, AND LIFEASSURE MEMBRANE DISC PRODUCTS ",1989,1
7916,27-Jan-89,ERIMOS TECHNOLOGIES LLC,NORDIHYDROGUAIARETIC ACID (NDGA) OR MASOPROCOL,1989,1
7933,20-Feb-89,COSMA SPA,ATENOLOL,1989,2
7937,16-Feb-89,KATWIJK CHEMIE BV,ETHOSUXIMIDE,1989,2
7939,8-Feb-89,LUPIN LTD,7-ADCA,1989,2
7940,21-Feb-89,PUROLITE CORP,POLACRILIN POTASSIUM ,1989,2
7944,2-Mar-89,SMITHFIELD BIOSCIENCE INC,HEPARIN SODIUM USP ,1989,3
7982,22-Mar-89,FINE CHEMICALS CORP PTY LTD,METHAZOLAMIDE ,1989,3
7995,22-Mar-89,KANEKA CORP,N-[1(S)-ETHOXYCARBONYL-3-PHENYLPROPYL]-L-ALANYL-N-CARBOXY ANHYDRIDE,1989,3
8002,23-Mar-89,SIEGFRIED EVIONNAZ SA,CHLOROPROCAINE HYDROCHLORIDE,1989,3
8024,12-Apr-89,MERCK KGAA,BISOPROLOL FUMARATE 2:1,1989,4
8028,24-Apr-89,WOCKHARDT LTD,CAPTOPRIL,1989,4
8029,19-Apr-89,VERTELLUS ZEELAND LLC,CETYLPYRIDINIUM CHLORIDE USP,1989,4
8041,14-Apr-89,LONZA AG,NIACIN USP SPECIAL,1989,4
8056,4-May-89,SUMITOMO CHEMICAL CO LTD,SC-26480 (INTERMEDIATE),1989,5
8062,6-May-89,CIPLA LTD,TERBUTALINE SULFATE USP,1989,5
8070,9-May-89,PHARMAZELL GMBH,5-AMINOSALICYLIC ACID (MESALAZINE/MESALAMINE),1989,5
8112,20-Jun-89,ASPEN OSS BV,RIMEXOLONE ,1989,6
